"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin","sev"
"demography","blink",0,5,7,6,0.0342792504125896,0.564870730763451,1.16772521376774,5.72059612480001
"demography","blink",0,7,10,8.5,0.051035345001426,0.569586303736272,0.897638269057891,2.42980571545392
"demography","blink",0,10,15,12.5,0.0837960129388751,0.502358553582235,0.574169625773599,1.01461783933377
"demography","blink",0,15,20,17.5,0.0814983538633447,0.350981090633183,0.322961894707514,0.438103055138247
"demography","blink",0,20,30,25,0.153713611206756,0.243583462523979,0.234301241686619,0.287350049841204
"demography","blink",0,30,40,35,0.142116874266601,0.206803601885912,0.172487784127305,0.202961966757789
"demography","blink",0,40,60,50,0.220829102490614,0.197885123208914,0.133396561536859,0.159402518826769
"demography","blink",0,60,85,72.5,0.144852979043761,0.195292500736654,0.10759502669229,0.134195845915128
"demography","IBM",1,0,1,0.5,0.0182272560718554,0.2189653602113,0.768288857180445,40.6306607162735
"demography","IBM",1,1,2,1.5,0.0176049982785769,0.372361658991969,1.34231246758553,59.2759066882501
"demography","IBM",1,2,3,2.5,0.0171347311245933,0.435453312377549,1.55203780653218,53.0443300966693
"demography","IBM",1,3,5,4,0.0347051441545442,0.472577730534148,1.28521126760563,12.6096199840553
"demography","IBM",1,5,7,6,0.0347697032853127,0.498864721485411,1.08919098143236,8.71352785145889
"demography","IBM",1,7,10,8.5,0.0518704025252581,0.513698861524948,0.918310014419854,1.29796468469237
"demography","IBM",1,10,15,12.5,0.0833991452186632,0.462137749674326,0.619179057767633,0.807273869318948
"demography","IBM",1,15,20,17.5,0.0781036364037133,0.338714781664029,0.431003943981296,1.29301183194389
"demography","IBM",1,20,30,25,0.155577636827775,0.235326129161719,0.267654794939572,0.216374126871118
"demography","IBM",1,30,40,35,0.154337179243723,0.192385997013343,0.188231687604537,0
"demography","IBM",1,40,60,50,0.230717271310577,0.185563725833112,0.144446687439914,0.145905744888802
"demography","IBM",1,60,85,72.5,0.123552895555408,0.18839687203282,0.103261583570708,0
"demography","IBM",2,0,1,0.5,0.0183711809937962,0.245497954644943,0.841136543173848,47.7501094378167
"demography","IBM",2,1,2,1.5,0.0176927867997191,0.370263944327182,1.35584940753589,53.3949133769409
"demography","IBM",2,2,3,2.5,0.0175001483611775,0.43372068455525,1.49416332136066,36.6311007817452
"demography","IBM",2,3,5,4,0.0352792711981316,0.458787710463294,1.26143039055909,21.9961326632745
"demography","IBM",2,5,7,6,0.0337602561018965,0.523129577657608,1.1033198713122,6.99568758984188
"demography","IBM",2,7,10,8.5,0.0501180696149468,0.511262719320087,0.892662494674347,2.6927978723208
"demography","IBM",2,10,15,12.5,0.0837563090475175,0.447950097782565,0.581684862022841,0.805657703632744
"demography","IBM",2,15,20,17.5,0.0772492155344968,0.330886673040588,0.398762948772103,0.873522341231332
"demography","IBM",2,20,30,25,0.162533506054707,0.229034663220951,0.254913926312575,0.415169261095398
"demography","IBM",2,30,40,35,0.152669197834685,0.192732523817741,0.178344701063511,0.2209971512559
"demography","IBM",2,40,60,50,0.231018042383045,0.185409079232618,0.123847730351897,0.292093703660134
"demography","IBM",2,60,85,72.5,0.120052016075881,0.184179200551917,0.100612436919921,0
"demography","IBM",3,0,1,0.5,0.0179212412446452,0.244151429307237,0.862915271697141,35.7198042750451
"demography","IBM",3,1,2,1.5,0.0176853066959905,0.364426860966419,1.45737862354771,68.5825234610687
"demography","IBM",3,2,3,2.5,0.0173222665630253,0.396949819088676,1.34204762843638,42.7899243849281
"demography","IBM",3,3,5,4,0.0359766956480322,0.43651893245483,1.18465750191146,16.8567865884635
"demography","IBM",3,5,7,6,0.0356799313389849,0.503457607123731,1.05098062549963,7.55421833243217
"demography","IBM",3,7,10,8.5,0.0534304061849559,0.510592755498506,0.860100995268114,2.52229030870415
"demography","IBM",3,10,15,12.5,0.0803730978123163,0.463496427681364,0.644297899561629,2.93434306892089
"demography","IBM",3,15,20,17.5,0.0851572338538755,0.351632211517616,0.411071679428368,0.791283309775492
"demography","IBM",3,20,30,25,0.161235602892617,0.229207647582822,0.280632924726406,0.4179194709254
"demography","IBM",3,30,40,35,0.144176131971227,0.194622820170379,0.200267744987944,0
"demography","IBM",3,40,60,50,0.227284999796465,0.187231830467105,0.13519094990649,0
"demography","IBM",3,60,85,72.5,0.123757085997866,0.184609211142636,0.108351905388432,0.272240968312643
"demography","IBM",4,0,1,0.5,0.0191913499942984,0.222635785824345,0.739912365177196,31.6352080123267
"demography","IBM",4,1,2,1.5,0.0174009397182028,0.354892328934441,1.25217068054486,46.520272961419
"demography","IBM",4,2,3,2.5,0.0164831407575741,0.411743929854855,1.25641212515347,26.6015596530865
"demography","IBM",4,3,5,4,0.0327992997670757,0.43621861784701,1.2689786132265,20.5669143148541
"demography","IBM",4,5,7,6,0.0316514042083836,0.493794468595719,1.07416566185036,8.52512430039969
"demography","IBM",4,7,10,8.5,0.046683919907163,0.489489144721215,0.834484710763432,3.61248792538282
"demography","IBM",4,10,15,12.5,0.0814793307645066,0.448495688032191,0.650327990818072,1.24187394809307
"demography","IBM",4,15,20,17.5,0.0804779023174331,0.33072873308493,0.42413838637264,0.41910907744332
"demography","IBM",4,20,30,25,0.158300545338178,0.22847297461379,0.262927773522874,0.639208525582351
"demography","IBM",4,30,40,35,0.154271821890078,0.190312550353138,0.186275913334799,0
"demography","IBM",4,40,60,50,0.232787157320094,0.182813336106793,0.128953966391385,0
"demography","IBM",4,60,85,72.5,0.128473188017013,0.180442328800427,0.0966137707710256,0.525074841146879
"demography","IBM",5,0,1,0.5,0.0186581932951528,0.243208305060401,0.876791100588903,52.4266843651096
"demography","IBM",5,1,2,1.5,0.0168754621206821,0.389009364218827,1.42713980614424,57.965062154318
"demography","IBM",5,2,3,2.5,0.0163856754209416,0.427776211155603,1.36481303930968,37.0537476735661
"demography","IBM",5,3,5,4,0.0329354755925888,0.458756551700917,1.26379083940336,20.4828337018373
"demography","IBM",5,5,7,6,0.0333911620485172,0.504523603273489,1.0616837379991,9.09148776592948
"demography","IBM",5,7,10,8.5,0.0492061897579687,0.518187213359827,0.861667123663285,6.85494927337538
"demography","IBM",5,10,15,12.5,0.0832086610553129,0.459497070204042,0.63805802728553,2.83761511499283
"demography","IBM",5,15,20,17.5,0.0810828019532694,0.343018007750171,0.41350581262822,0.416001823569638
"demography","IBM",5,20,30,25,0.151469216859715,0.230727602629322,0.281924817608206,0.445378858780736
"demography","IBM",5,30,40,35,0.149478187718977,0.193906803609748,0.19496645768277,0.225655622318021
"demography","IBM",5,40,60,50,0.237559579548614,0.188847061880675,0.131764801074907,0
"demography","IBM",5,60,85,72.5,0.12974939462826,0.17941586427003,0.112565819790701,0
"demography","IBM",6,0,1,0.5,0.0179309765769889,0.211405959750331,0.708074118670145,48.8326978393204
"demography","IBM",6,1,2,1.5,0.0172530877297228,0.354837157067223,1.33319963634419,48.7994010374886
"demography","IBM",6,2,3,2.5,0.0162619509395593,0.424521129317779,1.5656347873451,49.7026916617493
"demography","IBM",6,3,5,4,0.0322080704480322,0.478324018185308,1.31226133215688,19.8669046302636
"demography","IBM",6,5,7,6,0.0340091307853989,0.509087258846478,1.09917985420233,12.873277571739
"demography","IBM",6,7,10,8.5,0.0518668470187469,0.512850982680348,0.908383380534248,2.59723625599499
