"scenario","model","rep","year","pfpr_2_10","clin_0_5","sev_0_5","clin_all","sev_all"
"eir_20","IBM",1,0,0.564166647292679,1.35790402925783,28.7691531622423,NA,NA
"eir_20","IBM",1,0.0821917808219178,0.559104947264145,1.34442538053487,28.727038045617,NA,NA
"eir_20","IBM",1,0.164383561643836,0.552707913467923,1.3305191731103,28.7991163010888,NA,NA
"eir_20","IBM",1,0.246575342465753,0.562177610483759,1.37133565914724,23.0476581369283,NA,NA
"eir_20","IBM",1,0.328767123287671,0.561481395618407,1.49177068375124,46.0778589575673,NA,NA
"eir_20","IBM",1,0.410958904109589,0.559525461357014,1.53565101860053,46.1849930406175,NA,NA
"eir_20","IBM",1,0.493150684931507,0.549557450638725,1.31534663682113,5.79447857630455,NA,NA
"eir_20","IBM",1,0.575342465753425,0.548144717800289,1.45635620837109,17.4066479088178,NA,NA
"eir_20","IBM",1,0.657534246575342,0.550376113875709,1.55608227415173,34.8376628541431,NA,NA
"eir_20","IBM",1,0.73972602739726,0.547845538298338,1.322631913541,29.0050858232676,NA,NA
"eir_20","IBM",1,0.821917808219178,0.548517022504328,1.50883998982447,23.2129229203765,NA,NA
"eir_20","IBM",1,0.904109589041096,0.548267384144362,1.47224163120117,23.1849075779712,NA,NA
"eir_20","IBM",1,0.986301369863014,0.547137949106155,1.41365079365079,46.3492063492063,NA,NA
"eir_20","IBM",1,1.06849315068493,0.550073517399118,1.27074589851202,5.80249268726949,NA,NA
"eir_20","IBM",1,1.15068493150685,0.550456040495463,1.35932804807877,17.5020778722588,NA,NA
"eir_20","IBM",1,1.23287671232877,0.540944376349734,1.23466245432642,23.295518006159,NA,NA
"eir_20","IBM",1,1.31506849315068,0.548243819765063,1.43441378979823,23.3238014601339,NA,NA
"eir_20","IBM",1,1.3972602739726,0.546498008901382,1.37134680565326,11.6710366438575,NA,NA
"eir_20","IBM",1,1.47945205479452,0.54245404218542,1.43963443963444,23.4086900753567,NA,NA
"eir_20","IBM",1,1.56164383561644,0.54245585407075,1.66832389780764,23.4150722499318,NA,NA
"eir_20","IBM",1,1.64383561643836,0.540671971706454,1.50386366551238,46.812876747467,NA,NA
"eir_20","IBM",1,1.72602739726027,0.546759658151503,1.66455979774058,29.202803469133,NA,NA
"eir_20","IBM",1,1.80821917808219,0.549785367674505,1.43025078369906,64.2153413089374,NA,NA
"eir_20","IBM",1,1.89041095890411,0.554090755440547,1.55922785379328,58.6175884884692,NA,NA
"eir_20","IBM",1,1.97260273972603,0.562405101730944,1.3406795224977,29.4008667214409,NA,NA
"eir_20","IBM",1,2.05479452054795,0.556823763302538,1.54923099268919,29.453060697513,NA,NA
"eir_20","IBM",1,2.13698630136986,0.558428491201797,1.55950334902099,29.3139727259585,NA,NA
"eir_20","IBM",1,2.21917808219178,0.559259954921112,1.34418932334198,35.0658084350082,NA,NA
"eir_20","IBM",1,2.3013698630137,0.55363704890229,1.51372561529995,40.7541511811526,NA,NA
"eir_20","IBM",1,2.38356164383562,0.558372984325498,1.5648818597561,46.3668699186992,NA,NA
"eir_20","IBM",1,2.46575342465753,0.552338317935041,1.53310297823778,17.3558827725032,NA,NA
"eir_20","IBM",1,2.54794520547945,0.550803411077677,1.55938642956237,28.770967335099,NA,NA
"eir_20","IBM",1,2.63013698630137,0.548239934420776,1.6643423485537,57.1938951393024,NA,NA
"eir_20","IBM",1,2.71232876712329,0.551979756940732,1.52643405530242,22.7825978403346,NA,NA
"eir_20","IBM",1,2.79452054794521,0.553117206982544,1.6082800068507,56.8296822208728,NA,NA
"eir_20","IBM",1,2.87671232876712,0.547530776177575,1.50042658807105,22.6479484991856,NA,NA
"eir_20","IBM",1,2.95890410958904,0.545384505973829,1.53646155750898,45.1900458090875,NA,NA
"eir_20","IBM",1,3.04109589041096,0.53545863948803,1.54522922503772,50.5711382739616,NA,NA
"eir_20","IBM",1,3.12328767123288,0.533907568017108,1.40116234610385,33.4939206239963,NA,NA
"eir_20","IBM",1,3.20547945205479,0.533818741490558,1.49741297492576,33.5241710804274,NA,NA
"eir_20","IBM",1,3.28767123287671,0.538678118086856,1.55386229022705,22.5197433366239,NA,NA
"eir_20","IBM",1,3.36986301369863,0.539424324643152,1.4283052268704,45.3430230752508,NA,NA
"eir_20","IBM",1,3.45205479452055,0.546199341274245,1.70767532952002,45.3867197214623,NA,NA
"eir_20","IBM",1,3.53424657534247,0.546465682978899,1.78450970077668,28.2359129869728,NA,NA
"eir_20","IBM",1,3.61643835616438,0.546161666312032,1.29113516990031,16.7679892194846,NA,NA
"eir_20","IBM",1,3.6986301369863,0.538947667400412,1.53656081266587,38.9707452487722,NA,NA
"eir_20","IBM",1,3.78082191780822,0.538322140496749,1.52348408402899,55.8052778032596,NA,NA
"eir_20","IBM",1,3.86301369863014,0.533480082368814,1.42084291187739,33.5632183908046,NA,NA
"eir_20","IBM",1,3.94520547945205,0.54033555776421,1.55780809389528,44.5088026827224,NA,NA
"eir_20","IBM",1,4.02739726027397,0.54658407079646,1.54510293580217,50.0213180655378,NA,NA
"eir_20","IBM",1,4.10958904109589,0.548902854582542,1.64714194548272,38.8215273346097,NA,NA
