"age_mid","IBM","ODE"
0.5,0.0186502623157447,0.0180999972302866
1.5,0.0182338720044607,0.0176280511936213
2.5,0.0177921032943284,0.0175051928105975
4,0.0353052287715,0.0346452295415274
6,0.0347601007642405,0.034279250412589
8.5,0.0510114122506791,0.0510353450014268
12.5,0.0778014960704549,0.0837960129388757
17.5,0.0805872136982076,0.0814983538633451
25,0.156910856389916,0.153713611206753
35,0.153008950638276,0.142116874266599
50,0.230099851540981,0.220829102490617
72.5,0.125838652261211,0.144852979043762
