"year","pfpr","model"
0,0.552769392608855,"IBM"
0.0821917808219178,0.551257829228356,"IBM"
0.164383561643836,0.55174079569373,"IBM"
0.246575342465753,0.542917343096957,"IBM"
0.328767123287671,0.539588496340269,"IBM"
0.410958904109589,0.53522879129994,"IBM"
0.493150684931507,0.53485506328385,"IBM"
0.575342465753425,0.548644852280839,"IBM"
0.657534246575342,0.558640877001664,"IBM"
0.73972602739726,0.550838797092629,"IBM"
0.821917808219178,0.549581510694727,"IBM"
0.904109589041096,0.549792507270867,"IBM"
0.986301369863014,0.551716226138032,"IBM"
1.06849315068493,0.551343338466135,"IBM"
1.15068493150685,0.550018304960644,"IBM"
1.23287671232877,0.551559163726464,"IBM"
1.31506849315068,0.555769054808308,"IBM"
1.3972602739726,0.558561447715038,"IBM"
1.47945205479452,0.5556,"IBM"
1.56164383561644,0.549743003997716,"IBM"
1.64383561643836,0.545445225375056,"IBM"
1.72602739726027,0.540760374954496,"IBM"
1.80821917808219,0.553877379777982,"IBM"
1.89041095890411,0.55685550547036,"IBM"
1.97260273972603,0.553498988666282,"IBM"
2.05479452054795,0.555330809650263,"IBM"
2.13698630136986,0.552953007242692,"IBM"
2.21917808219178,0.547863508522246,"IBM"
2.3013698630137,0.547509057971014,"IBM"
2.38356164383562,0.545337095841975,"IBM"
2.46575342465753,0.542829949238579,"IBM"
2.54794520547945,0.541029757597685,"IBM"
2.63013698630137,0.5482881904374,"IBM"
2.71232876712329,0.547548903412233,"IBM"
2.79452054794521,0.551036322130054,"IBM"
2.87671232876712,0.55216740395547,"IBM"
2.95890410958904,0.553928350486474,"IBM"
3.04109589041096,0.550752792617776,"IBM"
3.12328767123288,0.552341675611547,"IBM"
3.20547945205479,0.559845297099888,"IBM"
3.28767123287671,0.556104671024164,"IBM"
3.36986301369863,0.553610977920862,"IBM"
3.45205479452055,0.550296939241663,"IBM"
3.53424657534247,0.553202201549323,"IBM"
3.61643835616438,0.54823162195038,"IBM"
3.6986301369863,0.545121471995562,"IBM"
3.78082191780822,0.540413837698028,"IBM"
3.86301369863014,0.534084234529938,"IBM"
3.94520547945205,0.547709528086782,"IBM"
4.02739726027397,0.54953329041751,"IBM"
4.10958904109589,0.55488838978778,"IBM"
4.19178082191781,0.54398882387294,"IBM"
4.27397260273973,0.536643620364551,"IBM"
4.35616438356164,0.53199239604321,"IBM"
4.43835616438356,0.53651295584321,"IBM"
4.52054794520548,0.547745312908098,"IBM"
4.6027397260274,0.547611483036424,"IBM"
4.68493150684932,0.545895145454752,"IBM"
