"scenario","model","rep","doy","pfpr_2_10","clin_0_5"
"nets","IBM",1,4,0.511092319936331,1.62924387934533
"nets","IBM",1,11,0.512913841244515,1.35779506256341
"nets","IBM",1,18,0.51524679343215,1.82611047258468
"nets","IBM",1,25,0.518274744452755,1.80338409475465
"nets","IBM",1,32,0.51898355754858,1.7775974025974
"nets","IBM",1,39,0.522865398027299,1.23235870079006
"nets","IBM",1,46,0.523562559218072,1.30568304535637
"nets","IBM",1,53,0.525778331257783,1.77220311551689
"nets","IBM",1,60,0.526819064694457,1.69801779935275
"nets","IBM",1,67,0.529926426724995,1.77411732937285
"nets","IBM",1,74,0.526072934755644,1.65247651868369
"nets","IBM",1,81,0.528740762783316,1.33509449298923
"nets","IBM",1,88,0.523114234804989,1.61098662320907
"nets","IBM",1,95,0.51595639246779,1.24014677901604
"nets","IBM",1,102,0.51203056010319,1.45920856484619
"nets","IBM",1,109,0.513958446967819,1.48555148555149
"nets","IBM",1,116,0.516547760602457,1.50990099009901
"nets","IBM",1,123,0.518547789577673,1.4586155513411
"nets","IBM",1,130,0.524190363349131,1.21196720200583
"nets","IBM",1,137,0.52527298779584,1.48373983739837
"nets","IBM",1,144,0.526044761338879,1.75397631133672
"nets","IBM",1,151,0.52493321460374,1.33672431332655
"nets","IBM",1,158,0.522188690446742,1.33808553971487
"nets","IBM",1,165,0.519703337453647,1.36258738885495
"nets","IBM",1,172,0.519566615544452,1.70341562394319
"nets","IBM",1,179,0.523844786729858,1.53371738393765
"nets","IBM",1,186,0.528271166370634,1.76124779121925
"nets","IBM",1,193,0.532932360481167,1.28931458460702
"nets","IBM",1,200,0.525775738740072,1.80803419963358
"nets","IBM",1,207,0.528813391931263,1.21320037986705
"nets","IBM",1,214,0.530060318402057,1.45802301963439
"nets","IBM",1,221,0.531265435147684,1.38501151917604
"nets","IBM",1,228,0.534690056174239,1.55592394613979
"nets","IBM",1,235,0.526887534408179,1.57869838480773
"nets","IBM",1,242,0.527833833735296,1.65202999392015
"nets","IBM",1,249,0.526162790697675,1.50459521556967
"nets","IBM",1,256,0.52826376225913,1.48183232965695
"nets","IBM",1,263,0.529301684231262,1.23821154759482
"nets","IBM",1,270,0.526728087894763,1.23511099079589
"nets","IBM",1,277,0.529269853773817,1.48103063501724
"nets","IBM",1,284,0.528546116743774,1.33049817739976
"nets","IBM",1,291,0.5299195605258,1.3787521079258
