"scenario","model","rep","pfpr_2_10","clin_0_5","sev_0_5","clin_all","sev_all","eir_realised"
"nets","IBM",10,0.49022628237342,1.4897588490374,46.0362730310066,0.732020694013365,11.6486829690286,15.5041398898548
"irs","IBM",10,0.382977721363741,1.51711349278688,51.2304742747588,0.803381338341933,13.6331378627722,14.1858170289671
"pev","IBM",10,0.511463196160736,1.19310271859582,32.5206873893239,0.610737712926356,7.99183943679749,19.5005855257641
"treatment","IBM",10,0.387305935403079,1.42882960911952,33.9160338401629,0.663104511833103,8.24940375801271,18.8432553182006
"smc","IBM",1,0.235337160076009,0.569221864800872,21.5698449743434,0.495727856264178,6.07534308238989,12.0742029961826
"smc","IBM",2,0.239433291113125,0.537495056525473,21.4616482197394,0.479730271449729,6.07423428698153,11.9352056890747
"smc","IBM",3,0.244823355499316,0.549238254614093,20.9970358906796,0.489075779231993,5.83390591529216,12.3267114897273
"smc","IBM",4,0.236445219445055,0.524857163582367,18.5335318891103,0.470094113788663,5.23968860753297,11.9995504978777
"smc","IBM",5,0.236938310605864,0.546815315765841,21.1269553818621,0.477595148651379,6.15102485771007,11.9944362795563
"smc","IBM",6,0.230769230769231,0.541513701073574,21.5760544033215,0.478102903911884,6.27317169741245,11.9765690244872
"smc","IBM",7,0.250073024750274,0.548940341034827,19.7618522772538,0.500704160296437,5.87720357179399,12.3472176746308
"smc","IBM",8,0.243328130867256,0.546113354500719,21.4409400150398,0.485106329735111,6.3467462494764,12.1750836871993
"smc","IBM",9,0.241998340834695,0.529440892500324,19.1595015380093,0.478391939846274,5.60248625205664,12.0217646850561
"smc","IBM",10,0.242666435369537,0.529902402013818,23.039234870166,0.484154495735423,6.37663622554627,12.3994305982888
"eir_20","IBM",1,0.548432037308577,1.54906325154761,40.1160988341875,0.698829971162503,9.95455642375364,20.5460784900309
"demography","IBM",1,0.489997746609581,1.24148351706247,35.7676477964094,0.393067133321711,3.70000439269928,13.9496084814551
"eir_20","IBM",2,0.546879385049796,1.56265052584059,38.5543383218245,0.68421701821853,9.13184636680276,20.1974053970778
"demography","IBM",2,0.490711693820052,1.23966455528668,36.5166607264565,0.377300241196501,3.86666913850995,14.0747089903175
"eir_20","IBM",3,0.548721901211847,1.54166921910401,40.3755189894728,0.697868444990353,9.86884669683328,20.0871826475104
"demography","IBM",3,0.476282148608683,1.20286791055796,36.0594671830251,0.392033870366032,3.96667210046406,14.0245966679999
"eir_20","IBM",4,0.54530705171948,1.4800269401749,37.7348451783446,0.677328648525443,9.15807642253707,20.2205637180478
"demography","IBM",4,0.466836620049087,1.14481601998726,29.5055675254448,0.367667036012548,3.23333658143401,13.2378543529046
"eir_20","IBM",5,0.553198084884444,1.51913109177988,37.0146721919785,0.705181467518936,9.13421397043433,19.9817784768259
"demography","IBM",5,0.4886638639846,1.23188137042726,38.2225635297403,0.383100174931587,4.2000019178091,13.7503595671465
"eir_20","IBM",6,0.545771097042088,1.53777217677376,40.6328294005717,0.693701789508691,9.86926330101888,19.9646950703619
"demography","IBM",6,0.492936492713749,1.23753417847378,37.9042726544591,0.377467011385399,4.10000374429566,13.6989036276784
"eir_20","IBM",7,0.547482187909886,1.51246474877051,39.5415620593596,0.690979719951782,9.80208308520795,19.9576469128754
"demography","IBM",7,0.463792638653024,1.177560971456,35.3540245471779,0.376733677382354,3.93333692542185,13.6630417904377
"eir_20","IBM",8,0.551328956241088,1.53032423365341,43.0369331849568,0.686816315160496,10.2985546915245,20.4148848340148
"demography","IBM",8,0.49550530119181,1.24993442160888,40.1751225930159,0.396100144694117,4.40000160730652,14.0066947865017
"eir_20","IBM",9,0.548237271313071,1.50523755810832,37.4421871860294,0.694824241815998,9.45978063014105,20.1394474319879
