"doy","pfpr","model"
1,0.623489379069461,"IBM"
2,0.621383822699427,"IBM"
3,0.618709347905877,"IBM"
4,0.616411102428921,"IBM"
5,0.61392361919542,"IBM"
6,0.611573994182241,"IBM"
7,0.609215685657352,"IBM"
8,0.606894938978292,"IBM"
9,0.604101567342815,"IBM"
10,0.601050885765818,"IBM"
11,0.598487517213489,"IBM"
12,0.595839612917041,"IBM"
13,0.593130800909426,"IBM"
14,0.590250969941164,"IBM"
15,0.58752399767593,"IBM"
16,0.584759618552379,"IBM"
17,0.582025733277394,"IBM"
18,0.57939551317349,"IBM"
19,0.576580116920541,"IBM"
20,0.57378456229858,"IBM"
21,0.570791460462967,"IBM"
22,0.567634673370719,"IBM"
23,0.564590000253682,"IBM"
24,0.561600188440341,"IBM"
25,0.558472021822335,"IBM"
26,0.554857165087082,"IBM"
27,0.551509257717435,"IBM"
28,0.548512153577182,"IBM"
29,0.545496615818514,"IBM"
30,0.542524503712081,"IBM"
31,0.539376029337054,"IBM"
32,0.53639884196892,"IBM"
33,0.533609675320963,"IBM"
34,0.530613671989065,"IBM"
35,0.527969962262606,"IBM"
36,0.525326469495841,"IBM"
37,0.522777181170425,"IBM"
38,0.520452839222069,"IBM"
39,0.517955173489109,"IBM"
40,0.515163642704768,"IBM"
41,0.512582678717353,"IBM"
42,0.510248942649347,"IBM"
43,0.507167136496883,"IBM"
44,0.504483071359031,"IBM"
45,0.501389776891477,"IBM"
46,0.49865869946161,"IBM"
47,0.496067580044341,"IBM"
48,0.493511392048206,"IBM"
49,0.490942096654511,"IBM"
50,0.488243865387356,"IBM"
51,0.485742964374161,"IBM"
52,0.483383112933997,"IBM"
53,0.480462448314724,"IBM"
54,0.478160851194979,"IBM"
55,0.47610453620491,"IBM"
56,0.47404966171571,"IBM"
57,0.471597822836551,"IBM"
58,0.469494773414889,"IBM"
59,0.46728618670815,"IBM"
60,0.465631481937627,"IBM"
61,0.463370723584894,"IBM"
62,0.461084090641598,"IBM"
63,0.458902333940715,"IBM"
64,0.456699501445622,"IBM"
65,0.454440008136571,"IBM"
66,0.452188061803508,"IBM"
67,0.449641035281718,"IBM"
68,0.447611320449736,"IBM"
69,0.445067641455533,"IBM"
70,0.442570795108891,"IBM"
71,0.44022578471711,"IBM"
72,0.437777664646191,"IBM"
73,0.435798828702408,"IBM"
74,0.433753768226558,"IBM"
75,0.431194917226802,"IBM"
76,0.429183096212929,"IBM"
77,0.427189271031474,"IBM"
78,0.424905048238898,"IBM"
79,0.422907169110597,"IBM"
80,0.42096614736599,"IBM"
81,0.419278958358093,"IBM"
82,0.417502485808562,"IBM"
83,0.415676209406602,"IBM"
84,0.414003981701954,"IBM"
85,0.41218273814691,"IBM"
86,0.410077684862918,"IBM"
87,0.408463206703112,"IBM"
88,0.406409770697979,"IBM"
89,0.404744362845307,"IBM"
90,0.4032796851771,"IBM"
91,0.401380206462612,"IBM"
92,0.399301603233713,"IBM"
93,0.397245843596736,"IBM"
94,0.395325565907455,"IBM"
95,0.393343945283385,"IBM"
96,0.390928665038125,"IBM"
97,0.388881656419813,"IBM"
98,0.386624072825326,"IBM"
99,0.384337771010831,"IBM"
100,0.382240858913919,"IBM"
101,0.380031302143363,"IBM"
102,0.377831572048896,"IBM"
103,0.375775228445475,"IBM"
104,0.373218187771712,"IBM"
105,0.370579094419685,"IBM"
106,0.368211239298009,"IBM"
107,0.365945014310887,"IBM"
108,0.3639124941858,"IBM"
109,0.361429120353668,"IBM"
110,0.35925612624519,"IBM"
111,0.357363381765695,"IBM"
112,0.355174070960648,"IBM"
113,0.353241873257325,"IBM"
114,0.350794364329504,"IBM"
115,0.348571362106502,"IBM"
116,0.346668863547466,"IBM"
117,0.344618225029713,"IBM"
118,0.342505340563887,"IBM"
119,0.340368861097546,"IBM"
120,0.33851384279964,"IBM"
121,0.336472116198625,"IBM"
122,0.334445685650821,"IBM"
123,0.332692093634532,"IBM"
124,0.331148790195505,"IBM"
125,0.329153562963685,"IBM"
126,0.32714528331113,"IBM"
127,0.325417417191412,"IBM"
128,0.32341688238144,"IBM"
129,0.322102544149909,"IBM"
130,0.320609486743625,"IBM"
131,0.319320470455892,"IBM"
132,0.317804389515798,"IBM"
133,0.316646109548808,"IBM"
134,0.315636493761708,"IBM"
135,0.314565327133429,"IBM"
136,0.313812264101159,"IBM"
137,0.312894111108933,"IBM"
138,0.311626060397697,"IBM"
139,0.310327197007445,"IBM"
140,0.309541837570762,"IBM"
141,0.309074984162732,"IBM"
142,0.308179029265746,"IBM"
143,0.307959948407521,"IBM"
144,0.30730444027589,"IBM"
145,0.30700836645657,"IBM"
146,0.306757518541927,"IBM"
147,0.306461395734853,"IBM"
148,0.30646863775779,"IBM"
149,0.306536975691074,"IBM"
150,0.306815317113973,"IBM"
151,0.307032553308183,"IBM"
152,0.307477657371826,"IBM"
153,0.308123923345256,"IBM"
154,0.309136185026229,"IBM"
155,0.310063807407349,"IBM"
156,0.310795891703629,"IBM"
157,0.312120184445163,"IBM"
158,0.313390175349113,"IBM"
159,0.315080424503094,"IBM"
160,0.316597395456536,"IBM"
161,0.317919795376392,"IBM"
162,0.319599879380593,"IBM"
163,0.320992217483619,"IBM"
164,0.322657110401056,"IBM"
165,0.324445425378963,"IBM"
166,0.326482122834613,"IBM"
167,0.328301104112151,"IBM"
168,0.330275085492785,"IBM"
169,0.332248777102981,"IBM"
170,0.334004869710129,"IBM"
171,0.335753529546525,"IBM"
172,0.337454778731061,"IBM"
173,0.339047399591815,"IBM"
174,0.340794796278727,"IBM"
175,0.342634586480376,"IBM"
176,0.344700409780206,"IBM"
177,0.34679652110574,"IBM"
178,0.348800621029206,"IBM"
179,0.350518480303236,"IBM"
180,0.352033102230301,"IBM"
181,0.353617076141319,"IBM"
182,0.355682296479607,"IBM"
183,0.357587808362432,"IBM"
184,0.359299677750603,"IBM"
185,0.361466752200096,"IBM"
186,0.363942244840858,"IBM"
187,0.366253822607444,"IBM"
188,0.368664505358505,"IBM"
189,0.37124095668709,"IBM"
190,0.373425813622441,"IBM"
191,0.375546550887402,"IBM"
192,0.378033511236969,"IBM"
193,0.380429129573072,"IBM"
194,0.382984899387265,"IBM"
195,0.385501396277895,"IBM"
196,0.38804922361297,"IBM"
197,0.390433864768366,"IBM"
198,0.392778647814708,"IBM"
199,0.395254308839496,"IBM"
200,0.397290144521825,"IBM"
201,0.399622564921553,"IBM"
202,0.402173304113171,"IBM"
203,0.404364380153884,"IBM"
204,0.406141574018426,"IBM"
205,0.408132262551454,"IBM"
206,0.410118569828566,"IBM"
207,0.411906240340481,"IBM"
208,0.413934742486622,"IBM"
209,0.415879397012797,"IBM"
210,0.417720359021736,"IBM"
211,0.419408408245633,"IBM"
212,0.421272339496227,"IBM"
213,0.423203694935436,"IBM"
214,0.425031799770888,"IBM"
215,0.427338134944789,"IBM"
216,0.42891570719022,"IBM"
217,0.430722756632704,"IBM"
218,0.432216382214949,"IBM"
219,0.43385702372188,"IBM"
220,0.43589281405277,"IBM"
221,0.438058265263732,"IBM"
222,0.439622563017927,"IBM"
223,0.441451694615401,"IBM"
224,0.442970477567451,"IBM"
225,0.444452259489037,"IBM"
226,0.446155831059103,"IBM"
227,0.44759047570831,"IBM"
228,0.44900321668688,"IBM"
229,0.450783540028434,"IBM"
230,0.452608211415985,"IBM"
231,0.454603165270419,"IBM"
232,0.456101766597467,"IBM"
233,0.458514663512607,"IBM"
234,0.460500297857768,"IBM"
235,0.46254413741271,"IBM"
236,0.464518404286115,"IBM"
237,0.467074786799255,"IBM"
238,0.469211989955858,"IBM"
239,0.471881037736666,"IBM"
240,0.474502229635974,"IBM"
241,0.476949500374958,"IBM"
242,0.479815181155783,"IBM"
243,0.482834925638942,"IBM"
244,0.485566825786684,"IBM"
245,0.48788077063498,"IBM"
246,0.490589386580836,"IBM"
247,0.493355453773253,"IBM"
248,0.495852671126805,"IBM"
249,0.498943703216913,"IBM"
250,0.501649872757841,"IBM"
251,0.504284975923058,"IBM"
252,0.50668421651395,"IBM"
253,0.509395734160345,"IBM"
254,0.512255755421836,"IBM"
255,0.515254347581744,"IBM"
256,0.518368790610995,"IBM"
257,0.521401391726755,"IBM"
258,0.524479450185911,"IBM"
259,0.527824502809761,"IBM"
260,0.531029541704455,"IBM"
261,0.534199842485277,"IBM"
262,0.537264613761255,"IBM"
263,0.540464109956044,"IBM"
264,0.543195347981399,"IBM"
265,0.546098822326665,"IBM"
266,0.549247242263406,"IBM"
267,0.552166649000932,"IBM"
268,0.555039374608819,"IBM"
269,0.557746223024731,"IBM"
270,0.560603788337626,"IBM"
271,0.56331942361724,"IBM"
272,0.565984984939808,"IBM"
273,0.568395836535348,"IBM"
274,0.570916386850271,"IBM"
275,0.573380774314659,"IBM"
276,0.5759747804046,"IBM"
277,0.578766620141533,"IBM"
278,0.581582234563426,"IBM"
279,0.584653682671194,"IBM"
280,0.587654415834898,"IBM"
281,0.590733716009634,"IBM"
282,0.593971221427825,"IBM"
283,0.596802037338225,"IBM"
284,0.59982372275777,"IBM"
285,0.602868093239709,"IBM"
286,0.605821825788457,"IBM"
287,0.608364982532986,"IBM"
288,0.611309141321662,"IBM"
289,0.613991070794869,"IBM"
290,0.616979415244938,"IBM"
291,0.619492544237818,"IBM"
292,0.621907114165397,"IBM"
293,0.624281357532134,"IBM"
294,0.626762124398126,"IBM"
295,0.628839914517249,"IBM"
296,0.630596776608533,"IBM"
297,0.632550057544564,"IBM"
298,0.634916746831668,"IBM"
299,0.637189285659411,"IBM"
300,0.639061812684398,"IBM"
301,0.641299612429986,"IBM"
302,0.64376913911544,"IBM"
303,0.645613877257065,"IBM"
304,0.647659485335823,"IBM"
305,0.649244368559918,"IBM"
306,0.651084339102179,"IBM"
307,0.652830207774664,"IBM"
308,0.654323203495111,"IBM"
309,0.655708636721135,"IBM"
310,0.657303643655948,"IBM"
311,0.659320629698882,"IBM"
312,0.660566814667128,"IBM"
313,0.662045841771155,"IBM"
314,0.66283797199312,"IBM"
315,0.663961822363716,"IBM"
316,0.664585739775954,"IBM"
317,0.665449596170431,"IBM"
318,0.666073921718664,"IBM"
319,0.66630528273449,"IBM"
320,0.667045638476099,"IBM"
321,0.667470048300408,"IBM"
322,0.667940655031529,"IBM"
323,0.667901686409625,"IBM"
324,0.668040495112567,"IBM"
325,0.66819482703644,"IBM"
326,0.668041480317798,"IBM"
327,0.668334787099522,"IBM"
328,0.66835827317684,"IBM"
329,0.668667317570016,"IBM"
330,0.668620989101172,"IBM"
331,0.668891450608347,"IBM"
332,0.668420261994158,"IBM"
333,0.668559271572036,"IBM"
334,0.66859789203929,"IBM"
335,0.668674768370103,"IBM"
336,0.668875326557392,"IBM"
337,0.668967718303215,"IBM"
338,0.669153160690294,"IBM"
339,0.668752610463476,"IBM"
340,0.668706121365891,"IBM"
341,0.668120011123239,"IBM"
342,0.667911580803032,"IBM"
343,0.666962819163991,"IBM"
344,0.665844793601957,"IBM"
345,0.665181566687463,"IBM"
346,0.663715436137638,"IBM"
347,0.662813397457833,"IBM"
348,0.661123461954029,"IBM"
349,0.659695470177292,"IBM"
350,0.657571061332362,"IBM"
351,0.655221839833351,"IBM"
352,0.652940043366052,"IBM"
353,0.651067973805189,"IBM"
354,0.649240224693317,"IBM"
355,0.646825511933777,"IBM"
356,0.644439903624545,"IBM"
357,0.641816522552398,"IBM"
358,0.639358110095324,"IBM"
359,0.637445464403424,"IBM"
360,0.635528553226569,"IBM"
361,0.633707336990329,"IBM"
362,0.631473259947092,"IBM"
363,0.629543900812677,"IBM"
364,0.627265126899916,"IBM"
365,0.62534809786731,"IBM"
1,0.618707607031172,"ODE"
2,0.616188335915418,"ODE"
3,0.613630637833492,"ODE"
4,0.611037721856532,"ODE"
5,0.608412735608768,"ODE"
6,0.605758742626417,"ODE"
7,0.603078704371394,"ODE"
8,0.600375466474237,"ODE"
9,0.597651748717046,"ODE"
10,0.594910138251408,"ODE"
11,0.592153085562301,"ODE"
12,0.589382902723967,"ODE"
13,0.58660176353882,"ODE"
14,0.583811705198847,"ODE"
15,0.58101463115696,"ODE"
16,0.578212314940714,"ODE"
17,0.575406404681685,"ODE"
18,0.572598428170004,"ODE"
19,0.56978979827514,"ODE"
20,0.566981818601317,"ODE"
21,0.564175689269317,"ODE"
22,0.561372512736307,"ODE"
23,0.558573299582229,"ODE"
24,0.555778974205554,"ODE"
25,0.552990380383302,"ODE"
26,0.550208286660303,"ODE"
