"year","pfpr","model"
0,0.376373369852781,"IBM"
0.0821917808219178,0.326588475899788,"IBM"
0.164383561643836,0.280341115874534,"IBM"
0.246575342465753,0.238732015080403,"IBM"
0.328767123287671,0.198007126220481,"IBM"
0.410958904109589,0.201086620979194,"IBM"
0.493150684931507,0.234891570721783,"IBM"
0.575342465753425,0.262914702892524,"IBM"
0.657534246575342,0.290568356374808,"IBM"
0.73972602739726,0.332556642241776,"IBM"
0.821917808219178,0.361092899507524,"IBM"
0.904109589041096,0.364140959758459,"IBM"
0.986301369863014,0.326781476297694,"IBM"
1.06849315068493,0.270670068647105,"IBM"
1.15068493150685,0.228032517354768,"IBM"
1.23287671232877,0.191405656651578,"IBM"
1.31506849315068,0.157298759727626,"IBM"
1.3972602739726,0.161061137368501,"IBM"
1.47945205479452,0.199671572801362,"IBM"
1.56164383561644,0.2281472250927,"IBM"
1.64383561643836,0.257086984203984,"IBM"
1.72602739726027,0.297018036798695,"IBM"
1.80821917808219,0.336158872594778,"IBM"
1.89041095890411,0.333063621924541,"IBM"
1.97260273972603,0.300237821020985,"IBM"
2.05479452054795,0.25240609443355,"IBM"
2.13698630136986,0.215226586102719,"IBM"
2.21917808219178,0.179535686179551,"IBM"
2.3013698630137,0.149998482411145,"IBM"
2.38356164383562,0.145360353496876,"IBM"
2.46575342465753,0.175522687848078,"IBM"
2.54794520547945,0.213458876500205,"IBM"
2.63013698630137,0.245499430307634,"IBM"
2.71232876712329,0.296959263885927,"IBM"
2.79452054794521,0.326263209036803,"IBM"
2.87671232876712,0.338960664348935,"IBM"
2.95890410958904,0.320815694842733,"IBM"
3.04109589041096,0.276433352515371,"IBM"
3.12328767123288,0.231519102486355,"IBM"
3.20547945205479,0.198786039453718,"IBM"
3.28767123287671,0.167598696673486,"IBM"
3.36986301369863,0.151222250883875,"IBM"
3.45205479452055,0.174180235272853,"IBM"
3.53424657534247,0.199957944697277,"IBM"
3.61643835616438,0.234774774774775,"IBM"
3.6986301369863,0.284888459564706,"IBM"
3.78082191780822,0.321977237156012,"IBM"
3.86301369863014,0.338000457561199,"IBM"
3.94520547945205,0.321398059437359,"IBM"
4.02739726027397,0.270871531597604,"IBM"
4.10958904109589,0.228679964934406,"IBM"
4.19178082191781,0.197117605395251,"IBM"
4.27397260273973,0.162629119527791,"IBM"
4.35616438356164,0.145715861730816,"IBM"
4.43835616438356,0.163727728157125,"IBM"
4.52054794520548,0.193546406312364,"IBM"
4.6027397260274,0.232706338700243,"IBM"
4.68493150684932,0.270166018638524,"IBM"
4.76712328767123,0.312569487337863,"IBM"
4.84931506849315,0.318851377570819,"IBM"
4.93150684931507,0.30495825364989,"IBM"
5.01369863013699,0.264272789667436,"IBM"
5.0958904109589,0.219363723142888,"IBM"
5.17808219178082,0.183105430509218,"IBM"
5.26027397260274,0.14868236394823,"IBM"
5.34246575342466,0.131102654538704,"IBM"
5.42465753424658,0.146906020966694,"IBM"
5.50684931506849,0.183320379294264,"IBM"
5.58904109589041,0.214461586411096,"IBM"
5.67123287671233,0.247632420625634,"IBM"
5.75342465753425,0.299057519491499,"IBM"
5.83561643835616,0.333385695659687,"IBM"
5.91780821917808,0.325759350355274,"IBM"
6,0.286522016791016,"IBM"
6.08219178082192,0.234563873092819,"IBM"
6.16438356164384,0.19170936334226,"IBM"
6.24657534246575,0.162900552914027,"IBM"
6.32876712328767,0.141861800350698,"IBM"
6.41095890410959,0.151300970873786,"IBM"
6.49315068493151,0.17702784550636,"IBM"
6.57534246575342,0.206084289517523,"IBM"
6.65753424657534,0.254939661101732,"IBM"
6.73972602739726,0.311919407481798,"IBM"
6.82191780821918,0.350552986753312,"IBM"
6.9041095890411,0.340215033628263,"IBM"
6.98630136986301,0.287437545721979,"IBM"
7.06849315068493,0.232093824172756,"IBM"
7.15068493150685,0.191959203405954,"IBM"
7.23287671232877,0.166562402252111,"IBM"
7.31506849315068,0.138725252746222,"IBM"
7.3972602739726,0.139995944407182,"IBM"
7.47945205479452,0.174382836531705,"IBM"
7.56164383561644,0.208843281240193,"IBM"
7.64383561643836,0.2626342015499,"IBM"
7.72602739726027,0.29940522773517,"IBM"
7.80821917808219,0.321756959230345,"IBM"
7.89041095890411,0.330186448959006,"IBM"
7.97260273972603,0.286573083217928,"IBM"
8.05479452054795,0.241890318723846,"IBM"
8.13698630136986,0.207578227879852,"IBM"
8.21917808219178,0.17455565656249,"IBM"
8.3013698630137,0.146530208611299,"IBM"
8.38356164383562,0.146985042802044,"IBM"
8.46575342465753,0.174503919935898,"IBM"
8.54794520547945,0.198274651732368,"IBM"
8.63013698630137,0.2411403836572,"IBM"
8.71232876712329,0.288974148733737,"IBM"
8.79452054794521,0.316237471087124,"IBM"
8.87671232876712,0.325832002947317,"IBM"
8.95890410958904,0.302298850574713,"IBM"
9.04109589041096,0.253989525569932,"IBM"
9.12328767123288,0.214259219189515,"IBM"
9.20547945205479,0.181937882425838,"IBM"
9.28767123287671,0.154590197022155,"IBM"
9.36986301369863,0.143759060936258,"IBM"
9.45205479452055,0.162677050528243,"IBM"
9.53424657534247,0.193799652432969,"IBM"
9.61643835616438,0.234418040057893,"IBM"
9.6986301369863,0.283025057801662,"IBM"
9.78082191780822,0.328506477329347,"IBM"
9.86301369863014,0.341212376014076,"IBM"
9.94520547945205,0.322439782439782,"IBM"
10.027397260274,0.266785217256842,"IBM"
10.1095890410959,0.224681629930664,"IBM"
10.1917808219178,0.188711285598554,"IBM"
10.2739726027397,0.155069117234062,"IBM"
10.3561643835616,0.140119591317859,"IBM"
10.4383561643836,0.166818039461322,"IBM"
10.5205479452055,0.199266009392592,"IBM"
10.6027397260274,0.239218129429172,"IBM"
10.6849315068493,0.285468911027138,"IBM"
10.7671232876712,0.320912937955069,"IBM"
10.8493150684932,0.331516083438175,"IBM"
10.9315068493151,0.312532136680223,"IBM"
11.013698630137,0.269043633348457,"IBM"
11.0958904109589,0.223383061163663,"IBM"
11.1780821917808,0.188298323618596,"IBM"
11.2602739726027,0.156109733513293,"IBM"
11.3424657534247,0.136127380933687,"IBM"
11.4246575342466,0.156227953280552,"IBM"
11.5068493150685,0.195704394517451,"IBM"
11.5890410958904,0.22620765370138,"IBM"
11.6712328767123,0.265094458043055,"IBM"
11.7534246575342,0.311712135465663,"IBM"
11.8356164383562,0.329219342604298,"IBM"
11.9178082191781,0.316744237764682,"IBM"
12,0.276894933587847,"IBM"
